Kolonne1;Estimate;Std, Error;t value;Pr(>|t|)
prod_logchanges_b4;-0,0897;0,0330;-2,7179;0,0066
prod_logchanges_b5;-0,1214;0,0173;-7,0034;0,0000
prod_logchanges_c1;-0,6033;0,2447;-2,4656;0,0137
prod_logchanges_c1_lag1;-0,3400;0,2289;-1,4856;0,1374
prod_logchanges_c1_lag2;-0,3204;0,2450;-1,3079;0,1909
prod_logchanges_c1_lag3;-0,5677;0,2294;-2,4749;0,0133
prod_logchanges_c2;0,0554;0,0990;0,5599;0,5755
prod_logchanges_c2_lag1;0,0645;0,0855;0,7543;0,4507
prod_logchanges_c2_lag2;0,4594;0,0939;4,8917;0,0000
prod_logchanges_c2_lag3;0,3846;0,0852;4,5138;0,0000
prod_logchanges_c3;1,2182;0,1945;6,2620;0,0000
prod_logchanges_c3_lag1;0,4833;0,1791;2,6983;0,0070
prod_logchanges_c3_lag2;0,2910;0,1763;1,6510;0,0988
prod_logchanges_c3_lag3;0,2734;0,1727;1,5834;0,1134
prod_logchanges_c4;0,0757;0,1183;0,6393;0,5226
prod_logchanges_c4_lag1;-0,1753;0,1273;-1,3775;0,1684
prod_logchanges_c4_lag2;-0,0882;0,1368;-0,6449;0,5190
prod_logchanges_c4_lag3;-0,1610;0,1285;-1,2530;0,2102
prod_logchanges_c5;0,0843;0,1930;0,4367;0,6623
prod_logchanges_c5_lag1;0,1184;0,1652;0,7168;0,4735
prod_logchanges_c5_lag2;-0,1940;0,2053;-0,9449;0,3447
prod_logchanges_c5_lag3;0,1780;0,1418;1,2554;0,2094
factor(country)BE;-0,0548;0,2520;-0,2176;0,8278
factor(country)CZ;-0,9263;0,3716;-2,4931;0,0127
factor(country)DE;-0,2456;0,1902;-1,2910;0,1967
factor(country)DK;-0,7526;0,2354;-3,1973;0,0014
factor(country)EL;-0,6894;0,3951;-1,7447;0,0811
factor(country)FI;-0,7348;0,2052;-3,5806;0,0003
factor(country)FR;-0,5741;0,2016;-2,8473;0,0044
factor(country)IT;-0,0695;0,2231;-0,3117;0,7553
factor(country)LU;-1,0123;0,4297;-2,3557;0,0185
factor(country)NL;-0,4228;0,2058;-2,0539;0,0400
factor(country)SE;-0,4355;0,2583;-1,6863;0,0918
factor(country)SI;-1,0040;0,4703;-2,1346;0,0328
factor(country)SK;-0,2555;0,3752;-0,6810;0,4959
factor(country)US;-0,4941;0,3037;-1,6270;0,1038
factor(year)1980;-1,2570;0,6777;-1,8548;0,0637
factor(year)1981;-2,1561;0,7121;-3,0278;0,0025
factor(year)1982;-0,2945;0,6253;-0,4709;0,6377
factor(year)1983;-0,6098;0,6363;-0,9585;0,3379
factor(year)1984;0,3773;0,6830;0,5525;0,5807
factor(year)1985;0,1317;0,5713;0,2305;0,8177
factor(year)1986;-0,4990;0,6055;-0,8242;0,4099
factor(year)1987;-0,3894;0,6286;-0,6194;0,5356
factor(year)1988;-0,6574;0,6676;-0,9847;0,3248
factor(year)1989;-0,6371;0,6880;-0,9260;0,3545
factor(year)1990;-1,4860;0,5936;-2,5034;0,0123
factor(year)1991;-3,6824;0,6912;-5,3272;0,0000
factor(year)1992;-3,4746;0,6673;-5,2070;0,0000
factor(year)1993;-4,2278;0,6715;-6,2963;0,0000
factor(year)1994;-0,5386;0,6212;-0,8669;0,3860
factor(year)1995;-0,8694;0,7649;-1,1366;0,2557
factor(year)1996;0,0422;0,6437;0,0655;0,9478
factor(year)1997;-0,0303;0,5880;-0,0516;0,9589
factor(year)1998;0,5627;0,6233;0,9029;0,3666
factor(year)1999;-1,0631;0,5334;-1,9930;0,0463
factor(year)2000;0,1022;0,5196;0,1966;0,8441
factor(year)2001;-0,4286;0,5538;-0,7740;0,4390
factor(year)2002;-1,3408;0,5920;-2,2649;0,0235
factor(year)2003;-1,7189;0,5681;-3,0256;0,0025
factor(year)2004;-1,0842;0,6405;-1,6929;0,0905
factor(year)2005;-1,0598;0,5472;-1,9370;0,0528
factor(year)2006;0,1933;0,5109;0,3783;0,7052
factor(year)2007;-0,2343;0,5023;-0,4664;0,6409
factor(year)2008;-0,7078;0,5374;-1,3171;0,1878
factor(year)2009;-4,3608;0,7159;-6,0909;0,0000
factor(year)2010;-0,6311;0,6560;-0,9621;0,3360
factor(year)2011;-0,3990;0,6179;-0,6456;0,5185
factor(year)2012;-1,1800;0,6975;-1,6918;0,0907
factor(year)2013;-1,5902;0,5440;-2,9230;0,0035
factor(year)2014;-0,7049;0,5266;-1,3387;0,1807
factor(year)2015;-0,6184;0,5422;-1,1405;0,2541
(Intercept);0,2843;0,4604;0,6175;0,5369
prod_logchanges_b1;-0,1383;0,0210;-6,5759;0,0000
prod_logchanges_b2;-0,4266;0,0369;-11,5485;0,0000
prod_logchanges_b3;-0,0253;0,0380;-0,6676;0,5044
prod_logchanges_b4;-0,0555;0,0297;-1,8710;0,0614
prod_logchanges_b5;-0,1088;0,0142;-7,6650;0,0000
prod_logchanges_c1;-0,2268;0,2231;-1,0166;0,3094
prod_logchanges_c1_lag1;0,0322;0,2190;0,1472;0,8830
prod_logchanges_c1_lag2;0,1057;0,2379;0,4442;0,6569
prod_logchanges_c1_lag3;-0,1883;0,2234;-0,8432;0,3991
prod_logchanges_c2;-0,2715;0,0944;-2,8762;0,0040
prod_logchanges_c2_lag1;-0,2218;0,0802;-2,7638;0,0057
prod_logchanges_c2_lag2;0,1753;0,0904;1,9378;0,0527
prod_logchanges_c2_lag3;0,0714;0,0809;0,8826;0,3775
prod_logchanges_c3;0,8775;0,1668;5,2615;0,0000
prod_logchanges_c3_lag1;0,1155;0,1521;0,7593;0,4477
prod_logchanges_c3_lag2;-0,0775;0,1568;-0,4944;0,6210
prod_logchanges_c3_lag3;-0,0567;0,1567;-0,3621;0,7173
prod_logchanges_c4;0,1953;0,1017;1,9211;0,0548
prod_logchanges_c4_lag1;-0,1162;0,1133;-1,0258;0,3050
prod_logchanges_c4_lag2;-0,0238;0,1263;-0,1883;0,8507
prod_logchanges_c4_lag3;-0,0338;0,1126;-0,3003;0,7640
prod_logchanges_c5;0,1708;0,1878;0,9096;0,3630
prod_logchanges_c5_lag1;0,2945;0,1625;1,8127;0,0699
prod_logchanges_c5_lag2;-0,0727;0,1960;-0,3709;0,7107
prod_logchanges_c5_lag3;0,2730;0,1353;2,0184;0,0436
factor(year)1980;-1,3334;0,5957;-2,2382;0,0252
factor(year)1981;-2,3248;0,6762;-3,4378;0,0006
factor(year)1982;-0,5280;0,5515;-0,9574;0,3384
factor(year)1983;-0,8125;0,5477;-1,4835;0,1380
factor(year)1984;0,1446;0,6149;0,2352;0,8141
factor(year)1985;-0,0452;0,4974;-0,0910;0,9275
factor(year)1986;-0,6057;0,5295;-1,1440;0,2527
factor(year)1987;-0,3520;0,5487;-0,6416;0,5212
factor(year)1988;-0,5015;0,5755;-0,8715;0,3835
factor(year)1989;-0,5719;0,5893;-0,9705;0,3318
factor(year)1990;-1,5699;0,5201;-3,0185;0,0025
factor(year)1991;-3,8005;0,6307;-6,0255;0,0000
factor(year)1992;-3,4454;0,6144;-5,6078;0,0000
factor(year)1993;-4,3149;0,5969;-7,2289;0,0000
factor(year)1994;-0,4761;0,5631;-0,8456;0,3978
factor(year)1995;-1,0145;0,7004;-1,4485;0,1475
factor(year)1996;-0,3106;0,5575;-0,5571;0,5775
factor(year)1997;-0,2546;0,5191;-0,4904;0,6239
factor(year)1998;0,3670;0,5270;0,6965;0,4861
factor(year)1999;-0,8756;0,4508;-1,9426;0,0521
factor(year)2000;0,3780;0,4438;0,8516;0,3945
factor(year)2001;-0,4264;0,4839;-0,8812;0,3783
factor(year)2002;-1,3283;0,5272;-2,5196;0,0118
factor(year)2003;-1,6582;0,5016;-3,3059;0,0010
factor(year)2004;-0,9171;0,5716;-1,6045;0,1087
factor(year)2005;-1,0297;0,4647;-2,2157;0,0267
factor(year)2006;0,3167;0,4331;0,7314;0,4646
factor(year)2007;-0,1468;0,4258;-0,3449;0,7302
factor(year)2008;-0,7852;0,4547;-1,7268;0,0842
factor(year)2009;-4,7845;0,5869;-8,1526;0,0000
factor(year)2010;-0,4060;0,5533;-0,7338;0,4631
factor(year)2011;-0,5287;0,5338;-0,9905;0,3220
factor(year)2012;-1,5288;0,5964;-2,5635;0,0104
factor(year)2013;-1,9632;0,4533;-4,3308;0,0000
factor(year)2014;-0,9044;0,4327;-2,0899;0,0367
factor(year)2015;-0,7841;0,4472;-1,7533;0,0796
factor(code)13t15;-4,2417;0,3430;-12,3653;0,0000
factor(code)16t18;-1,3047;0,2532;-5,1527;0,0000
factor(code)19;-1,3922;0,8155;-1,7072;0,0878
factor(code)20t21;0,4223;0,2786;1,5159;0,1296
factor(code)22t23;-0,4274;0,2603;-1,6416;0,1007
factor(code)24t25;0,1856;0,2649;0,7007;0,4835
factor(code)26t27;0,0118;0,3060;0,0385;0,9693
factor(code)28;0,4118;0,3180;1,2949;0,1954
factor(code)29t30;-0,1152;0,3769;-0,3057;0,7598
factor(code)31t33;0,1057;0,2952;0,3581;0,7202
factor(code)45;1,4314;0,2826;5,0645;0,0000
factor(code)46;1,2104;0,2384;5,0769;0,0000
factor(code)47;1,4619;0,2226;6,5659;0,0000
factor(code)49t52;1,2441;0,2317;5,3696;0,0000
factor(code)53;0,0579;0,2921;0,1984;0,8428
factor(code)58t60;0,8617;0,2560;3,3661;0,0008
factor(code)61;-0,0947;0,3302;-0,2868;0,7743
factor(code)62t63;5,8011;0,4018;14,4378;0,0000
factor(code)B;-1,1871;0,4363;-2,7206;0,0065
factor(code)DtE;1,1692;0,2663;4,3904;0,0000
factor(code)F;0,8854;0,2905;3,0472;0,0023
factor(code)I;2,6136;0,2308;11,3238;0,0000
factor(code)K;1,1337;0,2319;4,8883;0,0000
factor(code)L;2,8567;0,4309;6,6291;0,0000
factor(code)MtN;3,8223;0,2359;16,2056;0,0000
factor(code)P;1,7323;0,2302;7,5243;0,0000
factor(code)Q;2,4592;0,2323;10,5844;0,0000
factor(code)R;2,6510;0,2775;9,5526;0,0000
factor(code)S;1,7365;0,2844;6,1060;0,0000
