"","Country","variable","Education","Code","value"
"127","AT","2011",2,"H",76.130562629852
"128","AT","2011",2,"I",66.1867772278555
"129","AT","2011",2,"J",61.1876053770199
"130","AT","2011",2,"K",74.2604055484831
"131","AT","2011",2,"L",75.5372773782887
"132","AT","2011",2,"M_N",57.9278022050858
"133","AT","2011",3,"B",10.8079956086203
"134","AT","2011",3,"C",16.9713020701158
"135","AT","2011",3,"D",7.95700230155026
"136","AT","2011",3,"E",18.6305235203679
"137","AT","2011",3,"F",19.4763423133659
"138","AT","2011",3,"G",16.1932715369469
"139","AT","2011",3,"H",15.7390586117538
"140","AT","2011",3,"I",26.5017541300311
"141","AT","2011",3,"J",7.26638107177819
"142","AT","2011",3,"K",4.76705882282738
"143","AT","2011",3,"L",9.2989714306619
"144","AT","2011",3,"M_N",16.8062743730843
"145","AT","2012",1,"B",23.480793909414
"146","AT","2012",1,"C",15.7285732666018
"147","AT","2012",1,"D",32.8724795219739
"148","AT","2012",1,"E",13.2009291915698
"149","AT","2012",1,"F",12.3311441492961
"150","AT","2012",1,"G",11.0718315917297
"151","AT","2012",1,"H",9.0203486640896
"152","AT","2012",1,"I",7.28453377366884
"153","AT","2012",1,"J",31.3546847162944
"154","AT","2012",1,"K",22.433458494446
"155","AT","2012",1,"L",18.7068366845672
"156","AT","2012",1,"M_N",26.5181001275778
"157","AT","2012",2,"B",61.7014218756427
"158","AT","2012",2,"C",69.3296461146409
"159","AT","2012",2,"D",59.1094684895346
"160","AT","2012",2,"E",71.6500287874887
"161","AT","2012",2,"F",69.6445481155013
"162","AT","2012",2,"G",72.9087617471399
"163","AT","2012",2,"H",75.3895801603675
"164","AT","2012",2,"I",65.9107827112756
"165","AT","2012",2,"J",63.4233804955418
"166","AT","2012",2,"K",72.1442613067591
"167","AT","2012",2,"L",70.589289456964
"168","AT","2012",2,"M_N",56.3975170254707
"169","AT","2012",3,"B",14.8177842149433
"170","AT","2012",3,"C",14.9417806187572
"171","AT","2012",3,"D",8.0180519884915
"172","AT","2012",3,"E",15.1490420209416
"173","AT","2012",3,"F",18.0243077352027
"174","AT","2012",3,"G",16.0194066611303
"175","AT","2012",3,"H",15.5900711755429
"176","AT","2012",3,"I",26.8046835150555
"177","AT","2012",3,"J",5.22193478816381
"178","AT","2012",3,"K",5.42228019879498
"179","AT","2012",3,"L",10.7038738584688
"180","AT","2012",3,"M_N",17.0843834988773
"181","AT","2013",1,"B",23.2593642754883
"182","AT","2013",1,"C",15.6820161635813
"183","AT","2013",1,"D",35.163352401522
"184","AT","2013",1,"E",14.4081128769003
"185","AT","2013",1,"F",12.4604977141615
"186","AT","2013",1,"G",11.2587548994621
"187","AT","2013",1,"H",10.0558246043891
"188","AT","2013",1,"I",7.78205915996963
"189","AT","2013",1,"J",35.2236854031007
"190","AT","2013",1,"K",20.8211102846107
"191","AT","2013",1,"L",23.0015894477352
"192","AT","2013",1,"M_N",27.6165306568146
"193","AT","2013",2,"B",55.6651217256856
