"","Resp_id1","ISCO_NU","Functions","strata","bra10grp","bra10grp_code","aldergrp","udgrp","loengrp","pervgt","A1","A1a","A3","A4","A5","A7","A8","A9","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B13","B14","B15","C1","C2","C3","C4","C5","D1","D2","D3","D4","E3","E3a","E3b","E3c","E4","E4a","E4b","E4c","E1","E1a","E1b","E1c","E2","E2a","E2b","E2c","F1","F1a","F1b","F1c","F2","F2a","F2b","F2c","G1","G1a","G1b","G1c","G2","G2a","G2b","G2c","G3","G3a","G3b","G3c","H1","H2","H3","H4","J1","J2","J3"
"1126","LS833038","Science and engineering associate professionals","3",6,"Industri, råstofindvinding og forsyningsvirksomhed",2,3,2,3,391.428518575621,1,NA,5,NA,1,1,1,1,2,2,1,4,2,3,4,3,2,2,3,3,2,5,4,3,3,3,3,3,1,5,2,2,2,3,1,1,5,3,NA,NA,5,3,NA,NA,1,3,1,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,5,3,1
"1127","LS833179","Production and specialised services managers","1",4,"Industri, råstofindvinding og forsyningsvirksomhed",2,3,2,4,700.719220859637,1,NA,74,NA,1,2,2,2,1,2,2,4,2,3,4,2,2,2,2,2,1,4,4,3,3,3,3,3,1,5,2,3,3,1,3,1,4,2,NA,NA,3,1,1,1,2,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,93,2,9
"1128","LS834303","Personal service workers","5",6,"Handel og transport",4,3,2,2,575.888365585699,1,NA,11,NA,1,1,1,1,1,1,2,3,2,1,2,1,1,1,1,4,1,1,4,3,3,3,3,3,1,5,2,3,1,3,2,1,1,3,2,1,4,3,NA,NA,1,3,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,82,3,2
"1129","LS834685","Building and related trades workers, excluding electricians","7",6,"Bygge og anlæg",3,2,2,3,1165.83273453286,1,NA,91,NA,1,1,1,2,1,1,1,4,3,3,5,2,2,1,2,3,2,5,4,1,3,3,1,1,1,5,2,3,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,2,1,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,89,3,3
"1130","LS835363","Legal, social, cultural and related associate","3",8,"Offentlig administration, undervisning og sundhed",9,2,3,3,998.531980583745,1,NA,48,NA,1,2,2,1,4,3,2,5,2,3,3,2,2,2,2,4,5,5,5,3,3,3,3,3,1,5,3,2,3,3,3,2,5,3,NA,NA,5,3,NA,NA,2,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,69,3,8
"1131","LS835678","Stationary plant and machine operators","8",4,"Industri, råstofindvinding og forsyningsvirksomhed",2,3,1,2,794.738353534023,1,NA,76,NA,1,1,1,1,1,1,3,3,3,3,3,3,3,1,4,3,1,1,3,3,3,3,3,3,3,5,2,4,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,3,1,2,1,3,1,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,76,3,13
"1132","LS835989","General and keyboard clerks","4",4,"Offentlig administration, undervisning og sundhed",9,1,2,2,1716.49761680923,1,NA,68,NA,1,2,2,2,2,3,1,4,2,2,3,4,2,2,4,2,5,5,3,1,1,2,1,1,1,5,3,3,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,999,9,13
"1133","LS836031","Business and administration professionals","2",8,"Handel og transport",4,2,2,4,1249.06286002464,1,NA,48,NA,1,1,1,1,1,1,1,3,2,2,3,2,2,2,3,2,2,5,4,3,3,3,3,3,2,4,3,3,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,3,3,3,1,5,3,NA,NA,5,3,NA,NA,4,1,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,25,3,3
"1134","LS836303","Legal, social and cultural professionals","2",7,"Information og kommunikation",5,1,3,2,3658.67674045022,1,NA,48,NA,1,1,1,1,1,1,2,4,3,1,3,2,3,2,2,3,2,3,3,3,3,3,3,3,1,5,2,1,4,3,NA,NA,4,3,NA,NA,5,3,NA,NA,3,3,3,1,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,31,3,8
"1135","LS837041","Stationary plant and machine operators","8",6,"Industri, råstofindvinding og forsyningsvirksomhed",2,2,2,3,1165.83273453286,1,NA,5,NA,1,1,1,1,1,1,2,2,2,3,3,2,3,3,1,1,2,2,3,3,3,3,3,3,1,5,2,3,3,3,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,2,1,1,3,2,2,1,3,2,1,1,3,2,1,1,3,2,2,NA,NA,NA,NA,5,3,13
