"","Resp_id1","ISCO_NU","Functions","strata","bra10grp","bra10grp_code","aldergrp","udgrp","loengrp","pervgt","A1","A1a","A3","A4","A5","A7","A8","A9","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B13","B14","B15","C1","C2","C3","C4","C5","D1","D2","D3","D4","E3","E3a","E3b","E3c","E4","E4a","E4b","E4c","E1","E1a","E1b","E1c","E2","E2a","E2b","E2c","F1","F1a","F1b","F1c","F2","F2a","F2b","F2c","G1","G1a","G1b","G1c","G2","G2a","G2b","G2c","G3","G3a","G3b","G3c","H1","H2","H3","H4","J1","J2","J3"
"1","LS102824","Business and administration associate professionals","3",4,"Erhvervsservice",8,2,2,2,1354.69218625109,1,NA,38,NA,1,1,1,1,1,1,2,3,3,3,4,4,4,3,4,4,1,4,4,3,3,3,3,3,2,4,4,3,4,3,NA,NA,1,3,2,1,5,3,NA,NA,2,3,2,2,5,3,NA,NA,5,3,NA,NA,4,1,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,91,3,3
"2","LS103087","General and keyboard clerks","4",3,"Industri, råstofindvinding og forsyningsvirksomhed",2,1,2,2,3027.50143798852,1,NA,83,NA,1,1,1,2,1,2,2,4,2,3,3,2,2,2,3,4,2,1,3,1,3,2,3,3,1,4,4,2,1,3,2,2,1,1,2,2,3,3,2,2,3,3,2,2,4,3,NA,NA,3,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,98,3,13
"3","LS103468","Personal care workers","5",7,"Offentlig administration, undervisning og sundhed",9,3,2,2,1870.08831774567,1,NA,19,NA,1,1,1,1,1,1,1,5,2,2,3,2,2,2,2,1,4,4,3,3,3,3,3,3,1,5,4,4,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,19,2,13
"4","LS104992","Information and communications technology","2",1,"Information og kommunikation",5,1,3,2,3143.12186280881,1,NA,85,NA,1,1,1,1,3,2,2,3,2,2,3,3,4,2,2,2,4,4,3,2,3,1,3,3,2,4,3,2,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,2,3,3,1,5,3,NA,NA,5,3,NA,NA,1,3,3,2,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,85,3,8
"5","LS105742","Business and administration associate professionals","3",6,"Bygge og anlæg",3,2,1,4,1535.60781790307,1,NA,91,NA,1,1,1,1,1,1,1,4,2,2,3,1,1,1,1,2,1,4,4,3,3,3,3,3,2,5,3,2,2,3,3,1,2,3,3,1,2,3,2,1,2,3,2,1,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,4,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,91,2,3
"6","LS105747","None","None",5,"Industri, råstofindvinding og forsyningsvirksomhed",2,2,2,4,2051.18905721784,1,NA,38,NA,1,1,1,1,2,2,2,4,2,2,5,2,3,2,3,3,4,4,3,1,1,3,2,2,3,5,4,2,3,2,3,1,2,3,3,2,4,3,NA,NA,2,3,3,2,5,3,NA,NA,5,3,NA,NA,1,3,3,2,2,3,2,2,1,3,3,2,NA,NA,NA,NA,38,2,2
"7","LS105824","Market-oriented skilled forestry, fishery and hunting","6",3,"Landbrug, skovbrug og fiskeri",1,3,2,2,1449.33981207959,1,NA,38,NA,1,1,1,1,3,1,1,4,1,3,1,4,1,1,4,4,4,5,4,3,3,3,1,1,1,5,1,5,4,3,NA,NA,3,3,3,1,5,3,NA,NA,2,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,38,3,1
"8","LS105863","None","None",6,"Offentlig administration, undervisning og sundhed",9,2,2,4,1068.54425813598,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,11,3,13
"9","LS106166","Teaching professionals","2",4,"Offentlig administration, undervisning og sundhed",9,2,3,4,1053.32251830062,1,NA,98,NA,1,1,1,1,3,1,1,3,1,2,4,2,2,2,1,2,5,5,4,3,1,3,2,2,2,5,2,3,1,3,3,1,5,3,NA,NA,3,3,1,1,3,1,3,2,5,3,NA,NA,5,3,NA,NA,3,1,2,2,4,1,NA,NA,5,3,NA,NA,NA,NA,NA,NA,98,3,4
"10","LS106822","Business and administration professionals","2",10,"Erhvervsservice",8,2,2,2,900.490143102891,1,NA,36,NA,1,2,2,1,1,1,1,5,1,1,1,1,1,2,1,2,2,5,4,1,3,2,1,1,1,5,5,2,3,1,3,1,2,2,3,1,1,1,3,1,1,1,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,36,2,4
"11","LS107239","Science and engineering associate professionals","3",4,"Industri, råstofindvinding og forsyningsvirksomhed",2,3,2,3,700.719220859637,1,NA,93,NA,1,1,1,1,2,2,4,4,2,2,3,3,2,2,2,4,3,3,4,1,1,2,1,1,1,3,3,3,3,3,1,2,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,1,3,2,2,NA,NA,NA,NA,93,3,1
"12","LS107916","Numerical and material recording clerks","4",4,"Industri, råstofindvinding og forsyningsvirksomhed",2,2,2,4,1256.80836318172,1,NA,33,NA,1,1,1,1,2,2,3,2,3,3,3,2,2,2,2,3,4,4,4,3,3,3,3,3,1,5,2,3,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,1,3,3,1,5,3,NA,NA,5,3,NA,NA,1,3,3,1,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,33,3,13
"13","LS108141","General and keyboard clerks","4",1,"Erhvervsservice",8,3,2,2,2294.21567594839,1,NA,44,NA,1,1,2,2,1,2,2,4,3,1,3,3,1,1,3,3,2,1,1,2,2,1,1,1,1,5,2,2,4,2,NA,NA,1,1,2,1,3,3,2,1,1,3,2,1,5,3,NA,NA,5,3,NA,NA,1,3,2,1,1,3,2,1,1,3,2,1,NA,NA,NA,NA,44,3,13
"14","LS108587","Business and administration associate professionals","3",8,"Finansiering og forsikring",6,2,2,4,1142.69026766395,1,NA,24,NA,1,1,1,1,1,1,1,4,2,1,2,1,1,3,1,4,2,5,4,3,3,3,3,3,2,4,2,2,1,3,1,1,3,3,3,2,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,2,2,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,24,2,13
"15","LS109172","Teaching professionals","2",6,"Offentlig administration, undervisning og sundhed",9,2,3,3,1326.05977763161,1,NA,82,NA,1,1,1,1,5,1,1,3,2,2,5,3,2,2,3,1,3,5,4,3,3,3,3,3,2,3,4,4,1,3,1,1,3,2,2,3,4,3,NA,NA,1,3,1,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,82,2,1
"16","LS109546","Chief executives, senior officials and legislators","1",4,"Erhvervsservice",8,1,3,4,1415.12794885876,1,NA,98,NA,1,1,1,2,1,1,1,2,1,1,3,1,2,2,1,2,3,2,2,1,1,2,1,2,2,5,2,1,1,2,3,2,1,3,2,2,3,2,3,2,2,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,2,2,3,2,3,2,3,2,NA,NA,NA,NA,98,3,7
"17","LS109937","Metal, machinery and related trades workers","7",9,"Industri, råstofindvinding og forsyningsvirksomhed",2,2,2,2,2604.30904104405,1,NA,36,NA,1,2,2,2,1,1,2,3,2,2,4,2,2,1,4,3,2,5,3,3,1,3,3,3,2,4,3,3,4,2,NA,NA,5,2,NA,NA,5,2,NA,NA,5,2,NA,NA,1,1,2,2,1,1,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,36,3,1
"18","LS110457","Food preparation assistants","9",1,"Offentlig administration, undervisning og sundhed",9,3,2,2,2294.21567594839,1,NA,18,NA,1,1,1,1,1,2,1,4,3,2,3,3,1,1,5,4,1,5,5,1,2,1,1,1,1,5,2,1,4,2,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,18,3,13
"19","LS110551","Business and administration professionals","2",8,"Finansiering og forsikring",6,2,3,4,1104.90457294443,1,NA,4,NA,1,2,2,2,3,2,1,4,1,2,4,1,1,2,1,2,2,4,5,1,3,3,3,3,1,5,2,2,2,1,2,2,5,3,NA,NA,3,1,3,2,2,3,3,1,5,3,NA,NA,5,3,NA,NA,3,2,3,2,3,3,3,2,4,2,NA,NA,NA,NA,NA,NA,54,3,3
"20","LS110617","Legal, social and cultural professionals","2",7,"Offentlig administration, undervisning og sundhed",9,2,3,4,1548.9674729405,1,NA,48,NA,1,1,1,1,4,4,1,3,2,2,2,3,2,3,4,3,4,3,5,3,3,9,3,3,2,5,4,1,1,3,3,1,5,3,NA,NA,5,3,NA,NA,1,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,48,3,7
"21","LS110751","Business and administration associate professionals","3",8,"Handel og transport",4,2,3,1,1050.18138574958,1,NA,39,NA,2,NA,NA,NA,5,5,5,1,3,2,5,1,3,2,2,4,2,1,1,NA,NA,NA,NA,NA,2,3,2,2,1,NA,2,2,5,NA,NA,NA,5,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,39,3,1
"22","LS110773","Administrative and commercial managers","1",9,"Industri, råstofindvinding og forsyningsvirksomhed",2,3,1,4,2521.72573429291,1,NA,79,NA,1,1,1,1,2,3,2,2,2,2,2,3,3,2,3,3,2,5,3,1,1,2,2,2,1,5,2,2,1,3,3,2,1,3,3,1,3,3,3,2,1,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,69,1,3
"23","LS112074","None","None",7,"Handel og transport",4,2,2,4,2647.66220563789,1,NA,48,NA,1,1,1,1,1,1,1,3,4,1,3,1,1,1,1,1,3,5,5,3,3,3,3,3,1,5,2,2,1,3,3,1,1,3,3,1,3,3,3,1,1,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,48,1,13
"24","LS112107","Business and administration associate professionals","3",8,"Erhvervsservice",8,2,3,4,1104.90457294443,1,NA,34,NA,1,1,1,2,1,2,2,3,2,2,3,2,3,3,2,2,1,4,3,1,3,3,3,3,1,4,2,2,1,3,2,1,5,3,NA,NA,3,1,3,2,3,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,3,3,2,1,5,3,NA,NA,NA,NA,NA,NA,71,3,5
"25","LS112931","Teaching professionals","2",6,"Offentlig administration, undervisning og sundhed",9,2,2,1,1253.00410514606,1,NA,84,NA,1,1,1,1,1,3,2,4,4,2,5,2,2,3,1,3,4,5,5,3,3,3,3,3,2,9,5,3,2,1,3,2,5,3,NA,NA,5,3,NA,NA,1,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,84,3,1
"26","LS113274","Science and engineering associate professionals","3",8,"Industri, råstofindvinding og forsyningsvirksomhed",2,3,2,3,817.443146036581,1,NA,23,NA,1,1,1,1,2,3,2,4,3,3,4,3,4,4,3,4,4,1,4,3,3,3,3,3,2,5,2,2,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,48,3,6
"27","LS113277","Personal care workers","5",6,"Offentlig administration, undervisning og sundhed",9,3,2,2,575.888365585699,1,NA,11,NA,1,1,1,1,1,1,1,4,5,2,1,1,5,2,2,2,5,4,5,3,3,3,3,3,2,5,5,4,2,3,3,1,1,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,12,3,13
"28","LS115143","Business and administration associate professionals","3",8,"Offentlig administration, undervisning og sundhed",9,2,3,4,1104.90457294443,1,NA,2,NA,1,1,1,1,3,1,2,4,2,2,5,2,2,2,2,3,2,5,4,3,3,3,3,3,1,5,2,3,1,3,2,1,5,3,NA,NA,2,3,1,1,1,3,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,3,2,NA,NA,NA,NA,2,3,9
"29","LS115974","Teaching professionals","2",3,"Offentlig administration, undervisning og sundhed",9,2,3,2,2008.94573418198,1,NA,83,NA,1,2,2,1,1,1,2,2,3,3,2,1,2,2,1,3,3,5,3,3,3,3,3,3,2,5,4,2,3,3,1,1,5,3,NA,NA,5,3,NA,NA,3,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,83,1,1
"30","LS116157","None","None",4,"Offentlig administration, undervisning og sundhed",9,3,2,3,700.719220859637,2,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,4,4,66,3,1
"31","LS116339","Science and engineering associate professionals","3",8,"Industri, råstofindvinding og forsyningsvirksomhed",2,1,2,4,2072.778285117,1,NA,39,NA,1,1,1,1,2,2,1,3,2,3,3,3,3,4,4,3,1,1,4,1,1,3,3,3,2,5,3,3,3,3,3,2,1,1,3,2,5,3,NA,NA,5,3,NA,NA,1,3,3,2,1,1,2,2,1,1,1,1,1,1,1,3,2,3,3,3,NA,NA,NA,NA,40,3,13
"32","LS118300","Teaching professionals","2",8,"Offentlig administration, undervisning og sundhed",9,1,3,3,1928.61999803679,1,NA,34,NA,1,1,1,1,3,2,1,1,2,4,2,2,3,2,2,5,5,5,5,3,3,3,3,3,2,5,2,5,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,34,3,9
"33","LS118396","Teaching professionals","2",4,"Offentlig administration, undervisning og sundhed",9,2,3,4,798.926959286626,1,NA,74,NA,1,1,1,1,1,1,2,5,3,2,4,2,1,2,3,5,4,5,4,3,3,3,3,3,1,5,2,4,3,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,1,1,2,NA,NA,NA,NA,74,3,1
"34","LS119405","Teaching professionals","2",8,"Offentlig administration, undervisning og sundhed",9,3,3,2,618.561671761522,1,NA,7,NA,1,1,1,1,1,1,1,5,1,1,5,3,1,3,1,1,1,4,3,3,3,3,3,3,1,4,4,2,1,3,1,1,1,3,1,1,3,3,2,1,1,3,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,7,3,13
"35","LS119442","Health professionals","2",4,"Industri, råstofindvinding og forsyningsvirksomhed",2,2,2,4,1256.80836318172,1,NA,42,NA,1,1,1,1,4,2,1,5,1,2,4,3,1,3,3,5,3,5,5,3,3,3,1,3,2,4,2,4,3,1,1,1,1,3,1,2,5,3,NA,NA,2,1,1,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,91,2,13
"36","LS119512","Personal care workers","5",4,"Offentlig administration, undervisning og sundhed",9,1,2,2,1970.89317582323,1,NA,98,NA,1,1,1,1,1,3,3,3,3,3,1,3,1,3,1,3,3,5,3,3,1,1,2,3,3,5,5,3,2,3,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,2,3,2,1,4,3,NA,NA,4,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,38,3,14
"37","LS119833","Teaching professionals","2",9,"Offentlig administration, undervisning og sundhed",9,1,3,3,2111.43246402296,1,NA,78,NA,1,2,2,1,2,2,1,4,1,2,4,2,2,3,1,4,2,4,4,3,3,3,3,3,1,5,2,2,2,3,1,1,5,3,NA,NA,5,3,NA,NA,2,3,1,1,1,3,1,1,5,3,NA,NA,1,3,3,1,1,3,3,1,5,3,NA,NA,NA,NA,NA,NA,78,3,4
"38","LS119911","Information and communications technology","2",8,"Handel og transport",4,2,2,4,1249.06286002464,1,NA,48,NA,1,1,1,1,1,2,1,2,1,3,3,3,3,1,5,2,5,5,5,1,1,3,2,3,2,5,5,5,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,3,3,3,3,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,70,2,1
"39","LS120711","Drivers and mobile plant operators","8",3,"Handel og transport",4,2,2,2,1977.38348478805,1,NA,93,NA,1,1,1,1,1,1,1,3,1,4,4,1,2,1,5,4,3,5,5,3,3,3,3,3,2,5,2,5,4,3,NA,NA,1,3,1,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,93,3,1
"40","LS123311","Science and engineering professionals","2",7,"Handel og transport",4,2,3,4,1548.9674729405,1,NA,48,NA,1,1,1,1,1,1,2,3,2,2,3,2,2,2,1,2,1,5,4,3,3,3,3,3,1,5,2,3,2,3,1,1,2,3,9,1,3,3,1,2,1,3,2,1,5,3,NA,NA,5,3,NA,NA,4,1,NA,NA,4,1,NA,NA,4,1,NA,NA,NA,NA,NA,NA,10,3,13
"41","LS123369","Business and administration associate professionals","3",4,"Offentlig administration, undervisning og sundhed",9,2,2,2,1354.69218625109,1,NA,66,NA,1,1,1,1,1,2,1,2,3,3,2,2,3,3,1,3,2,5,3,3,3,3,3,3,1,3,4,4,2,3,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,2,1,1,3,2,1,1,3,2,1,NA,NA,NA,NA,66,3,3
"42","LS123765","Legal, social, cultural and related associate","3",1,"Offentlig administration, undervisning og sundhed",9,2,3,3,544.144716743818,1,NA,92,NA,1,1,1,1,1,2,1,4,2,2,3,3,3,2,1,4,2,2,3,1,1,3,3,3,2,5,3,2,1,3,2,2,5,3,NA,NA,1,1,1,1,1,3,1,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,2,2,5,3,NA,NA,NA,NA,NA,NA,92,3,3
"43","LS124290","Stationary plant and machine operators","8",10,"Industri, råstofindvinding og forsyningsvirksomhed",2,2,2,3,1328.17877237264,1,NA,45,NA,1,1,1,1,1,5,2,3,3,2,2,2,2,2,1,2,2,2,4,3,3,3,3,3,2,4,2,3,3,3,2,1,5,3,NA,NA,5,3,NA,NA,1,3,2,1,5,3,NA,NA,1,3,2,1,5,3,NA,NA,5,3,NA,NA,1,3,2,1,NA,NA,NA,NA,45,3,13
"44","LS124578","None","None",10,"Industri, råstofindvinding og forsyningsvirksomhed",2,2,1,2,2105.10357991888,1,NA,53,NA,1,1,1,1,1,1,2,3,3,3,3,4,2,1,2,4,2,2,4,3,3,3,3,3,1,5,4,3,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,53,3,1
"45","LS126483","Electrical and electronic trades workers","7",9,"Bygge og anlæg",3,1,1,3,3928.50255992159,1,NA,45,NA,1,2,2,1,2,1,1,3,3,3,3,2,1,2,3,2,4,5,3,3,3,3,3,3,2,5,2,2,3,3,3,1,2,3,3,1,4,3,NA,NA,3,3,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,77,3,3
"46","LS126989","Drivers and mobile plant operators","8",7,"Handel og transport",4,2,2,2,2514.38530637747,1,NA,48,NA,1,1,1,1,1,1,3,5,3,5,3,1,5,1,5,5,3,5,5,3,3,3,3,3,1,5,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,54,3,13
"47","LS127471","Health professionals","2",2,"Offentlig administration, undervisning og sundhed",9,1,3,3,1152.40408111294,1,NA,97,NA,1,1,1,2,1,1,1,4,2,2,3,3,3,3,4,4,2,5,4,3,3,1,1,1,1,5,2,2,3,1,1,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,97,3,98
"48","LS127946","Personal care workers","5",2,"Offentlig administration, undervisning og sundhed",9,2,2,2,1308.5568141714,1,NA,56,NA,1,1,1,1,1,2,2,4,2,2,4,4,4,4,2,2,1,5,5,1,1,2,2,2,2,5,4,3,1,1,1,1,5,3,NA,NA,5,3,NA,NA,1,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,2,1,9,2,NA,NA,NA,NA,67,3,1
"49","LS129794","None","None",9,"Erhvervsservice",8,2,2,3,1214.35776211651,1,NA,98,NA,1,1,1,1,1,2,1,2,2,4,4,4,3,3,3,4,4,5,5,1,3,3,3,3,2,4,2,4,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,82,3,1
"50","LS131121","None","None",4,"Information og kommunikation",5,1,3,2,1513.01177192814,1,NA,98,NA,1,1,1,2,4,3,2,5,1,2,3,3,2,2,2,3,4,5,4,1,1,3,3,3,1,5,2,2,4,3,NA,NA,4,3,NA,NA,5,3,NA,NA,3,3,2,1,5,3,NA,NA,5,3,NA,NA,2,1,2,2,1,3,2,1,2,1,2,2,NA,NA,NA,NA,98,3,5
"51","LS131187","None","None",10,"Handel og transport",4,3,2,3,1151.31745828438,2,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,27,3,2
"52","LS131289","Teaching professionals","2",4,"Industri, råstofindvinding og forsyningsvirksomhed",2,2,3,4,1053.32251830062,1,NA,75,NA,1,2,2,2,1,1,1,5,1,1,2,5,1,1,5,5,1,5,5,3,3,3,3,3,1,5,4,3,1,3,3,1,1,3,3,1,1,3,3,1,1,3,3,1,5,3,NA,NA,5,3,NA,NA,1,3,3,1,1,3,3,1,1,3,3,1,NA,NA,NA,NA,98,3,7
"53","LS131448","Personal care workers","5",6,"Offentlig administration, undervisning og sundhed",9,2,2,2,1253.00410514606,1,NA,91,NA,1,1,1,1,1,1,2,2,2,3,3,2,2,2,3,3,2,5,3,1,3,3,3,3,3,4,5,4,1,3,3,1,5,3,NA,NA,2,3,2,1,1,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,91,2,1
"54","LS131472","Teaching professionals","2",1,"Offentlig administration, undervisning og sundhed",9,2,3,1,1969.37265492812,1,NA,92,NA,1,2,2,2,5,5,1,5,1,2,5,1,1,3,3,5,5,5,5,3,3,3,3,3,1,3,2,4,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,2,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,97,3,8
"55","LS131701","Health associate professionals","3",8,"Industri, råstofindvinding og forsyningsvirksomhed",2,2,3,4,998.531980583745,1,NA,48,NA,1,1,1,1,2,2,2,4,2,2,5,4,2,2,2,3,2,5,3,1,1,3,2,1,2,5,2,1,2,1,3,2,5,3,NA,NA,4,3,NA,NA,1,1,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,48,3,8
"56","LS131756","Personal service workers","5",3,"Offentlig administration, undervisning og sundhed",9,2,2,2,1977.38348478805,1,NA,68,NA,1,1,1,1,3,2,2,3,2,2,3,3,2,2,2,3,4,5,5,1,1,3,3,3,2,4,3,3,4,9,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,9,9,NA,NA,NA,NA,68,1,1
"57","LS133996","Teaching professionals","2",4,"Offentlig administration, undervisning og sundhed",9,1,3,2,1513.01177192814,1,NA,93,NA,1,2,2,2,2,2,4,3,2,3,2,2,3,4,1,2,2,4,4,3,3,3,3,3,1,2,2,2,1,1,3,2,5,3,NA,NA,5,3,NA,NA,1,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,93,3,1
"58","LS134194","Health professionals","2",8,"Offentlig administration, undervisning og sundhed",9,1,3,4,1928.61999803679,1,NA,22,NA,1,2,2,2,1,2,3,2,2,2,2,2,4,3,3,3,2,5,4,2,3,1,3,1,2,5,2,1,1,1,2,2,5,3,NA,NA,5,3,NA,NA,1,3,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,48,3,4
"59","LS134748","Personal service workers","5",4,"Offentlig administration, undervisning og sundhed",9,2,2,1,1609.08774526509,1,NA,66,NA,1,1,1,1,2,1,2,4,3,4,3,2,2,1,1,2,5,5,4,1,3,3,3,3,2,5,5,4,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,3,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,66,3,2
"60","LS135075","Science and engineering associate professionals","3",2,"Bygge og anlæg",3,1,2,3,1404.76957840472,1,NA,44,NA,1,1,1,1,1,1,1,2,3,1,3,1,1,1,2,4,1,5,4,3,3,3,3,3,2,4,2,2,1,3,3,2,1,3,3,1,1,3,3,1,1,3,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,97,3,13
