"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WKGPOP","TOT","PC_POP","A","1995",66.571,
"AUS","WKGPOP","TOT","PC_POP","A","1996",66.601,
"AUS","WKGPOP","TOT","PC_POP","A","1997",66.642,
"AUS","WKGPOP","TOT","PC_POP","A","1998",66.706,
"AUS","WKGPOP","TOT","PC_POP","A","1999",66.768,
"AUS","WKGPOP","TOT","PC_POP","A","2000",66.852,
"AUS","WKGPOP","TOT","PC_POP","A","2001",66.903,
"AUS","WKGPOP","TOT","PC_POP","A","2002",67.016,
"AUS","WKGPOP","TOT","PC_POP","A","2003",67.136,
"AUS","WKGPOP","TOT","PC_POP","A","2004",67.224,
"AUS","WKGPOP","TOT","PC_POP","A","2005",67.312,
"AUS","WKGPOP","TOT","PC_POP","A","2006",67.402,
"AUS","WKGPOP","TOT","PC_POP","A","2007",67.43,
"AUS","WKGPOP","TOT","PC_POP","A","2008",67.499,
"AUS","WKGPOP","TOT","PC_POP","A","2009",67.505,
"AUS","WKGPOP","TOT","PC_POP","A","2010",67.386,
"AUS","WKGPOP","TOT","PC_POP","A","2011",67.226,
"AUS","WKGPOP","TOT","PC_POP","A","2012",66.93,
"AUS","WKGPOP","TOT","PC_POP","A","2013",66.671,
"AUS","WKGPOP","TOT","PC_POP","A","2014",66.425,
"AUS","WKGPOP","TOT","PC_POP","A","2015",66.183,
"AUS","WKGPOP","TOT","PC_POP","A","2016",65.917,
"AUS","WKGPOP","TOT","PC_POP","A","2017",65.734,
"AUT","WKGPOP","TOT","PC_POP","A","1995",67.058,
"AUT","WKGPOP","TOT","PC_POP","A","1996",67.042,
"AUT","WKGPOP","TOT","PC_POP","A","1997",67.108,
"AUT","WKGPOP","TOT","PC_POP","A","1998",67.212,
"AUT","WKGPOP","TOT","PC_POP","A","1999",67.355,
"AUT","WKGPOP","TOT","PC_POP","A","2000",67.53,
"AUT","WKGPOP","TOT","PC_POP","A","2001",67.719,
"AUT","WKGPOP","TOT","PC_POP","A","2002",67.919,
"AUT","WKGPOP","TOT","PC_POP","A","2003",68.123,
"AUT","WKGPOP","TOT","PC_POP","A","2004",68.055,
"AUT","WKGPOP","TOT","PC_POP","A","2005",67.756,
"AUT","WKGPOP","TOT","PC_POP","A","2006",67.561,
"AUT","WKGPOP","TOT","PC_POP","A","2007",67.466,
"AUT","WKGPOP","TOT","PC_POP","A","2008",67.485,
"AUT","WKGPOP","TOT","PC_POP","A","2009",67.456,
"AUT","WKGPOP","TOT","PC_POP","A","2010",67.505,
"AUT","WKGPOP","TOT","PC_POP","A","2011",67.657,
"AUT","WKGPOP","TOT","PC_POP","A","2012",67.567,
"AUT","WKGPOP","TOT","PC_POP","A","2013",67.439,
"AUT","WKGPOP","TOT","PC_POP","A","2014",67.3,
"AUT","WKGPOP","TOT","PC_POP","A","2015",67.239,
"AUT","WKGPOP","TOT","PC_POP","A","2016",67.143,
"AUT","WKGPOP","TOT","PC_POP","A","2017",66.982,
"BEL","WKGPOP","TOT","PC_POP","A","1995",66.133,
"BEL","WKGPOP","TOT","PC_POP","A","1996",65.998,
"BEL","WKGPOP","TOT","PC_POP","A","1997",65.867,
"BEL","WKGPOP","TOT","PC_POP","A","1998",65.752,
"BEL","WKGPOP","TOT","PC_POP","A","1999",65.664,
"BEL","WKGPOP","TOT","PC_POP","A","2000",65.59,
"BEL","WKGPOP","TOT","PC_POP","A","2001",65.554,
"BEL","WKGPOP","TOT","PC_POP","A","2002",65.562,
"BEL","WKGPOP","TOT","PC_POP","A","2003",65.581,
"BEL","WKGPOP","TOT","PC_POP","A","2004",65.589,
"BEL","WKGPOP","TOT","PC_POP","A","2005",65.646,
"BEL","WKGPOP","TOT","PC_POP","A","2006",65.808,
"BEL","WKGPOP","TOT","PC_POP","A","2007",65.988,
"BEL","WKGPOP","TOT","PC_POP","A","2008",66.051,
"BEL","WKGPOP","TOT","PC_POP","A","2009",65.988,
"BEL","WKGPOP","TOT","PC_POP","A","2010",65.895,
"BEL","WKGPOP","TOT","PC_POP","A","2011",65.72,
"BEL","WKGPOP","TOT","PC_POP","A","2012",65.477,
"BEL","WKGPOP","TOT","PC_POP","A","2013",65.248,
"BEL","WKGPOP","TOT","PC_POP","A","2014",65.011,
